id,subject,headline,claim_text,evidence_type,locator,source_url,metric,value,unit,baseline,task,sample_n,sample_unit_or_reason,model,model_version,hardware,test_level,measurement_scope,findings,limitations
v-workflow-evals,src:typesafe-launch,"193.6× faster, 444.6× cheaper on vendor workflow evals","The “193.6× faster, 444.6× cheaper” headline comes from the vendor’s workflow evaluations, whose reference answers average two external frontier models; the vendor expects these to be on the higher end of real-world gains and notes the workflows were written by its capabilities team.",vendor_reported_result,“Workflow evals” and “Nuance”,https://typesafe.ai/blog/introducing-system-one-models-and-jev,speed and cost ratios,"{""faster"": 193.6, ""cheaper"": 444.6}",,,,4,published workflows,Jev,null (launch_post),null (not_applicable_hosted),not_applicable,vendor_claim,F4:qualifies; F7:supports,"Reference answers are model outputs, not ground truth.; Possible selection bias acknowledged by the vendor."
v-confidence,src:typesafe-docs-confidence,Confidence = a statistic of the returned distribution,Choice and Score answers return a probability for every option or level and a confidence value computed from that distribution; Noul answers return only the probability of yes. The documentation calls confidence a convenient statistic and recommends thresholds tested on the user’s own data.,vendor_documentation,“Confidence is derived from the probabilities”,https://docs.typesafe.ai/confidence,,,,,,,documentation,Jev,jev-1.13.0,null (not_applicable_hosted),not_applicable,not_applicable,F2:qualifies,The exact statistic is not specified in the prose; the interactive demo’s formula is labelled as how the demo computes it.
v-calibration-group,src:typesafe-docs-system-one,"Calibration is a group property, not a per-answer guarantee",The vendor states that calibration is measured across groups of predictions and does not guarantee that an individual answer is correct.,vendor_documentation,“How it differs from an LLM”,https://docs.typesafe.ai/concepts/system-one,,,,,,,documentation,System One models,null (documentation),null (not_applicable_hosted),not_applicable,not_applicable,F2:supports,
v-text-only,src:typesafe-docs-models,Text-only input; English is the primary training language,"jev-1.13.0 accepts text only (a string, JSON object or array of text values); images, audio and video must be pre-processed into text or structured fields. English is the primary training language.",vendor_documentation,Current models table; State,https://docs.typesafe.ai/models,,,,,,,documentation,Jev,jev-1.13.0,null (not_applicable_hosted),not_applicable,not_applicable,F5:qualifies,"Visual Jev and JEVQA do not change this: one is an independent model, the other feeds text features."
v-jaggedness,src:typesafe-docs-jaggedness,Vendor-listed failure modes for jev-1.13,"The vendor’s jev-1.13 “jaggedness” page lists known failure modes: literal reading, arithmetic and counting, date comparison, indirection, large irrelevant state, adversarial content, contradictory instructions and criteria, structural invariants, and generation.",vendor_documentation,Failure-mode table (last reviewed 2026-09-17),https://docs.typesafe.ai/model-jaggedness/jev-1.13,,,,,,,documentation,Jev,jev-1.13,null (not_applicable_hosted),not_applicable,not_applicable,F1:supports; F3:supports,"A boundary statement by the vendor, not a neutral evaluation."
v-versioning,src:typesafe-docs-models,Aliases point to jev-1.13.0; pin versions when tuning thresholds,Aliases jev-latest and jev-preview both pointed to jev-1.13.0 at the time of review; the vendor advises pinning the versioned ID when thresholds were tuned to a specific version.,vendor_documentation,Aliases,https://docs.typesafe.ai/models,,,,,,,documentation,Jev,jev-1.13.0,null (not_applicable_hosted),not_applicable,not_applicable,F7:qualifies,
v-no-per-account,src:typesafe-docs-models,Same weights for all accounts; architecture undisclosed,Jev is not fine-tuned or LoRA-adapted with customer data; it is trained with RLCD and the same weights serve every account. Architecture and training data are not documented.,vendor_documentation,“Customizing Jev”,https://docs.typesafe.ai/models,,,,,,,documentation,Jev,jev-1.13.0,null (not_applicable_hosted),not_applicable,not_applicable,F5:supports,
r-calibration-audit,gh:jujumilk3/jev-calibration-audit,Abstain removed: acc 0.95 → 0; Noul vs Choice differ by 0.125,"Seven API-only experiments (about 7,000 calls) report that removing the abstain option drove accuracy on unanswerable items from 0.950 to 0.000 at 0.79 confidence, that a Noul and a two-option Choice over the same question differed by 0.125 on average, that 50 identical requests gave 15 distinct answers, and that option order produced no argmax flips in 400 trials.",community_report,README “Results” table,https://github.com/jujumilk3/jev-calibration-audit/blob/daab9e2c2d5d5683bf07f3482deb653c26856219/README.md,several,"{""abstain_removed_acc"": [0.95, 0.0], ""noul_vs_choice_gap"": 0.125, ""distinct_answers_of_50"": 15, ""order_flips_of_400"": 0}",,,,7000,API calls (approx.),Jev (API),null (not_reported),null (not_applicable_hosted),model_test,not_applicable,F1:supports; F2:supports,Community report; not peer-reviewed.
r-assay-001,gh:jourdanlabs/assay-001,ECE 0.0204 (CLINC150) vs 0.0936 (Banking77); 0 type errors,"A pre-registered audit reports Jev’s chosen-option probabilities as calibrated on CLINC150 (ECE 0.0204) but systematically overconfident on Banking77 (ECE 0.0936), with zero type errors across 8,576 responses.",community_report,README verdict,https://github.com/jourdanlabs/assay-001/blob/b7f71053a88025a5af80af00801c5ce725c9547d/README.md,ECE,"{""CLINC150"": 0.0204, ""Banking77"": 0.0936}",,,,8576,responses,Jev (API),null (see_repository),null (not_applicable_hosted),model_test,not_applicable,F2:supports; F1:supports,"Community report; protocol frozen before queries, per the README."
r-acento,gh:marcosmartinez/jev-acento,Spanish state: −3.0 to −6.4 accuracy points on 4 datasets,"With English instructions and a Spanish state, jev-1.13.0 lost 3.0–6.4 accuracy points on all four datasets (XNLI, PAWS-X, MASSIVE, Belebele) across 3,200 paired items and 19,200 calls; ECE roughly doubled on the two hardest tasks.",community_report,README “Findings”,https://github.com/marcosmartinez/jev-acento/blob/7e007b4c2bd552471b56eff035f9a3df7593f9fe/README.md,accuracy change,"{""min_pp"": -3.0, ""max_pp"": -6.4}",,,,3200,paired items,Jev,jev-1.13.0,null (not_applicable_hosted),model_test,not_applicable,F2:supports,"Community report; pre-registered, per the README."
r-ood,gh:scienthoon/jev-ood-calibration,Unknowable-rule task: temperature ≈3.4 needed; 0.01 quantisation,"On a rule-based task whose label is not recoverable from the text, the chosen level averaged 0.74 probability and a temperature of about 3.4 was needed to make probabilities honest; the returned probabilities were quantised to 0.01 and the gateway exposed no model version.",community_report,README “Results” and synthetic-task section,https://github.com/scienthoon/jev-ood-calibration/blob/914d87ab16517f14e833cff63d73b51235b14bd6/README.md,refit temperature,3.4,,,,900,"synthetic items (+3,721 public items)",Jev via Vercel AI Gateway (typesafe-ai/jev),null (gateway_exposes_no_version),null (not_applicable_hosted),model_test,not_applicable,F2:supports; F7:supports,Unpinned model alias; post-hoc temperature diagnostic.
r-synthetic-survey,gh:jjd-lab/jev-synthetic-survey,Noul vs Choice framing reverses the comparison with GPT-4.1,"Playing 300 survey respondents, jev-1.13.0 asked through Noul led GPT-4.1 on all six distribution measures, but asked through a two-option Choice it trailed on the distribution gap (0.1985 vs 0.1789): the primitive changes the conclusion.",community_report,README summary,https://github.com/jjd-lab/jev-synthetic-survey/blob/8dbb40db3a69e4d174b5962ffef3bdb8ee7e7a68/README.md,distribution gap,"{""jev_choice"": 0.1985, ""gpt41"": 0.1789}",,,,24596,answered cells per arm,Jev,jev-1.13.0,null (not_applicable_hosted),model_test,not_applicable,F1:supports,"“Survey” here means a questionnaire study, not a literature review.; Community report."
r-anyjev,gh:nokia-applied-research/anyjev,Frozen Qwen3-8B: order flips 0.230 → 0.073; auto-decidable 7.7% → 52%,"For a frozen Qwen3-8B on BANKING77 (20-way, 300 items), label-free permutation calibration reduced answer flips under option reversal from 0.230 to 0.073 and ECE from 0.240 to 0.184; with 100–500 labels ECE fell to 0.095 and the share decidable at ≤5% error rose from 7.7% to 52.0%.",community_report,README “What it does” table,https://github.com/nokia-applied-research/AnyJev/blob/54f1b3533639f52a406941706a4fdf08b2193589/README.md,flip rate; ECE; auto-decidable share,"{""flips"": [0.23, 0.073], ""ece_L0"": 0.184, ""ece_L1"": 0.095, ""auto_decidable"": [0.077, 0.52]}",,,,300,test items,frozen Qwen3-8B via AnyJev,README at commit 54f1b35,null (not_reported),model_test,not_applicable,F2:supports; F3:supports; F5:supports,Point estimate at n=300; wide interval per README.
r-localjev,gh:githubnext/localjev,"Wire-compatible, not a logit read: probabilities are generated","LocalJev returns Jev-shaped responses by asking a model for JSON probabilities, validating, retrying and normalising them; its README states this is wire-compatible but not mathematically equivalent to a logit read.",code_inspection,README “Why a bridge is needed”,https://github.com/githubnext/localjev/blob/3f23e36e1a3bff46c7e83e8e3781d3512bc82021/README.md,,,,,,,documentation,DiffusionGemma via chat completions,README at commit 3f23e36,null (not_applicable),not_applicable,not_applicable,F5:supports,
r-semif,gh:theoleecj/semif,"Reproduces the interface pattern, not Jev’s model or training",SemIf (formerly OpenJev) reproduces the interface pattern with a frozen open model’s option-token probabilities and states that it does not reproduce Jev’s undisclosed model or training.,code_inspection,README introduction,https://github.com/TheoLeeCJ/SemIf/blob/1f2dea3e25379f9dfc98cb83c324f00ab5deda37/README.md,,,,,,,documentation,frozen Qwen3.5-4B (and others),README at commit 1f2dea3,null (not_applicable),not_applicable,not_applicable,F5:supports,
r-kev,gh:jaredpalmer/kev,"Architecture follows third-party speculation, not a disclosure","Kev states that it follows an architecture described in a third-party blog post about Jev; that description is community speculation, not a disclosure by TypeSafe.",code_inspection,README introduction,https://github.com/jaredpalmer/kev/blob/557598fced1dada75dfbf36ed144dce309ac6ceb/README.md,,,,,,,documentation,Kev (Qwen3.5 base),README at commit 557598f,null (not_applicable),not_applicable,not_applicable,F5:supports,
